location,season,weather_cond,humidity,wind_speed,pressure,temperature
Chiang Mai,Summer,Overcast,62.59515139,18.84066473,999.7258612,23.80237838
Khon Kaen,Rainy,Overcast,,16.85140743,1014.705579,21.34363352
Bangkok,Summer,Cloudy,,29.49395296,1006.045129,33.67488969
Bangkok,Summer,Cloudy,41.40379836,14.66205321,1014.408266,33.49716832
Phuket,Summer,Sunny,80.97309984,27.62631777,993.0884477,28.39063626
Khon Kaen,Winter,Sunny,50.15076086,13.9526027,991.1924053,24.44747956
Chiang Mai,Winter,Sunny,33.13035083,10.17014909,,23.73477041
Khon Kaen,Summer,Cloudy,,16.89143864,,34.09067984
Chiang Mai,Summer,Cloudy,38.28611586,2.522226962,1014.903265,29.94172067
Chiang Mai,Winter,Cloudy,93.60856732,6.416128678,999.4189142,11.52979119
Bangkok,Rainy,Sunny,88.45551582,10.59894053,1010.263386,24.30235799
Khon Kaen,Summer,Cloudy,91.68706337,6.674450595,992.5629463,25.87828526
Khon Kaen,Rainy,,27.55703146,9.551537353,1006.194392,31.12865041
Khon Kaen,Rainy,Cloudy,88.6099793,11.72745284,1003.406542,22.66034563
Phuket,Winter,Sunny,82.29108078,7.008886924,1019.339929,21.1662146
Phuket,Summer,Sunny,55.56110244,12.06841206,991.6632661,33.73879375
Khon Kaen,Winter,Sunny,84.53284318,1.069146589,1007.536802,19.07909419
Bangkok,Winter,Overcast,,-8.185834556,1001.935226,19.92674629
Bangkok,Rainy,Overcast,44.01412094,22.05123937,992.9078114,27.70984584
Phuket,Winter,Overcast,79.03662071,16.03599545,1015.362953,17.81292324
Phuket,Summer,Cloudy,65.07905888,7.611998767,1013.733625,28.5303055
Bangkok,Rainy,Cloudy,28.17658671,19.20849997,1018.500902,30.60784052
Chiang Mai,Summer,Sunny,,24.41975524,1003.696569,32.36381907
Phuket,Rainy,Sunny,80.03932243,25.54229084,,27.31456418
Chiang Mai,Rainy,Sunny,60.36665593,-13.21999526,1002.49764,26.48628631
Phuket,Rainy,Cloudy,64.56791433,1.579331181,,26.86879035
Bangkok,Winter,Cloudy,89.59657801,18.81533146,1001.677011,14.31784823
Phuket,Summer,Sunny,32.39591942,7.532753704,1014.12244,36.58143842
Phuket,Winter,Cloudy,89.02553121,15.86625869,1007.694485,20.52106419
Phuket,Summer,Cloudy,81.80604687,16.75332745,,27.39630796
Khon Kaen,Rainy,Overcast,,28.21126053,1012.445441,20.98589767
Bangkok,Summer,Sunny,27.29374747,5.75038044,1013.999805,36.83983225
Khon Kaen,Rainy,Sunny,28.02006534,15.03636193,993.3838051,32.36657488
Khon Kaen,Summer,Sunny,46.79075713,8.25639913,1014.459697,34.22044338
Bangkok,Rainy,Overcast,68.08167701,1.79767266,1013.875942,20.73323294
Chiang Mai,Summer,Overcast,34.10475253,26.10227309,1006.537242,27.91542523
Chiang Mai,Summer,Cloudy,33.6812108,24.24505741,1005.168624,32.28226014
Khon Kaen,Winter,Overcast,72.60610616,14.24615921,996.5037362,17.85494854
Phuket,Rainy,Cloudy,57.07293562,9.20180332,1003.024517,25.42208664
Chiang Mai,Rainy,Sunny,,6.79419194,1008.676816,29.71692964
Phuket,Rainy,Cloudy,65.85044842,16.37865511,997.8840065,27.1992745
Khon Kaen,Rainy,Cloudy,37.15192379,22.7297959,1004.917876,29.80331244
Khon Kaen,Summer,Sunny,77.96570439,1.576835815,1009.575947,30.38444415
Chiang Mai,Summer,Cloudy,53.24284541,5.003993178,1007.587847,28.23663648
Chiang Mai,Rainy,Overcast,57.30724435,29.35562253,1005.957276,19.73010633
Chiang Mai,Winter,Cloudy,39.34697446,0.280081015,994.0240827,21.50316696
Chiang Mai,Summer,Sunny,67.78292895,29.52602809,1015.323745,25.91633811
Bangkok,Summer,Cloudy,85.88617499,8.291827677,1014.154417,27.45294384
Bangkok,Summer,Sunny,27.30003728,24.64438447,1010.530955,36.80913921
Chiang Mai,Summer,Overcast,80.3851531,18.01456357,1016.449216,20.41011811
Phuket,Rainy,Sunny,87.7759138,15.81325059,1017.45971,24.79446167
Bangkok,Summer,Cloudy,35.24323637,11.90327604,1012.989426,34.26285782
Chiang Mai,Summer,Sunny,56.50241201,6.592785807,1014.578947,29.8369112
Bangkok,Summer,Sunny,31.39592121,7.137783301,1013.730152,37.37357422
Chiang Mai,Winter,Sunny,43.56647121,21.4662413,994.5190698,21.67365209
Khon Kaen,Winter,Overcast,41.56682042,0.244036469,997.9127948,21.45839329
Phuket,Rainy,Overcast,87.21781711,14.03934977,1017.568657,20.11578961
Chiang Mai,Summer,Overcast,32.39916783,23.84396851,1000.136463,29.31564075
Chiang Mai,Winter,Cloudy,86.81077832,25.24260702,1002.614154,900
Bangkok,Summer,Sunny,86.97434274,13.64640219,993.51905,24.86871779
Phuket,Winter,Overcast,91.11158652,26.52885614,996.8365489,14.77800818
Khon Kaen,Winter,Overcast,62.99282514,28.69672893,990.8728811,19.29270771
Chiang Mai,Summer,Overcast,23.63267439,11.07919973,1006.901668,31.57121156
Phuket,Rainy,Cloudy,27.10937475,5.590154018,992.091768,32.11868467
Chiang Mai,Summer,Cloudy,39.72478519,27.1809832,1016.934942,29.58260383
Khon Kaen,Summer,Overcast,49.28367521,28.77497952,1009.382572,28.12393551
Phuket,Rainy,Sunny,50.58151838,-35.39144368,1008.277124,30.54211386
Khon Kaen,Summer,Sunny,29.72978702,10.8151372,992.2770212,36.05669638
Khon Kaen,Rainy,Cloudy,33.54372628,28.38087243,1003.000483,28.97347907
Chiang Mai,Summer,Overcast,37.84711075,19.16291934,1012.045241,26.23816531
Bangkok,Rainy,Sunny,48.68798231,5.631800081,1002.585338,24.28512872
Chiang Mai,Winter,Sunny,37.83060896,26.15269149,1017.22368,22.23566802
Chiang Mai,Winter,Sunny,92.20048025,4.81042844,1011.093843,16.60508016
Chiang Mai,Winter,Sunny,91.65325978,23.21659153,1010.961503,16.63728683
Phuket,Rainy,,,2.444178443,991.8894342,21.9861769
Khon Kaen,Rainy,Cloudy,93.78319164,21.44361344,1013.2772,21.77239318
Phuket,Rainy,Overcast,54.61939351,23.08486134,995.8690933,27.78712732
Bangkok,Summer,Cloudy,25.64175771,25.4979074,1000.317814,33.22723862
Bangkok,Winter,Cloudy,30.12449986,4.226529062,995.5731543,24.61795262
Khon Kaen,Winter,Overcast,34.51433575,10.2378727,1002.528774,24.6422453
Phuket,Rainy,Overcast,80.52109778,21.74221432,1002.594879,22.84960603
Khon Kaen,Winter,Sunny,75.1431809,19.97342521,990.751414,19.44826882
Phuket,Rainy,Cloudy,33.84459878,3.595810722,1005.928491,33.91330238
Bangkok,Winter,Sunny,28.59126849,10.88416387,1005.564097,29.00383721
Bangkok,Summer,Sunny,66.46406087,24.91725741,1012.652113,28.18029391
Phuket,Summer,Overcast,55.8898364,12.68296269,1006.109441,27.04750981
Phuket,Summer,Sunny,51.50614306,24.71399561,998.370465,33.5495946
Chiang Mai,Winter,Sunny,44.99490919,14.15285649,990.6005368,21.41919891
Khon Kaen,Rainy,Cloudy,93.11499759,16.15060113,1007.194503,23.4078732
Khon Kaen,Rainy,Sunny,57.0154163,28.04626948,,28.12507882
Bangkok,Summer,Overcast,74.0807388,-38.05761902,1009.879074,28.68841784
Bangkok,Winter,Cloudy,51.54335649,18.04565942,1003.994642,22.54852945
Bangkok,Summer,Cloudy,72.32070101,26.34068017,997.2484928,28.2265139
Bangkok,Summer,Cloudy,75.94465612,9.159772406,1016.318197,24.06350572
Chiang Mai,Summer,Sunny,57.35876704,-35.98533251,1019.543619,28.16893124
Bangkok,Summer,Sunny,62.08275343,21.26267988,1018.038098,33.0114176
Chiang Mai,Winter,Cloudy,34.22223547,11.76287017,,22.62847559
Bangkok,Summer,Cloudy,,12.03105028,994.5157986,29.49377536
Khon Kaen,Winter,Sunny,36.41656591,19.00714886,1018.200831,26.14677974
Phuket,Rainy,Sunny,26.6098484,10.16035919,1008.305582,35.6002912
Bangkok,Summer,Sunny,30.4751064,8.038721567,1013.524341,35.89159942
Chiang Mai,Winter,Sunny,73.38620555,12.17328373,1015.685258,17.29287971
Phuket,Rainy,Cloudy,69.07994072,1.370236799,995.80948,24.9751067
Khon Kaen,Rainy,Sunny,21.84971723,7.519776357,,33.17256567
Khon Kaen,Rainy,Cloudy,62.19710711,3.927793916,,22.56131323
Khon Kaen,Summer,Cloudy,49.55890495,6.730926873,1011.742277,32.62352853
Khon Kaen,Summer,Sunny,65.40254451,9.47717239,1000.657843,32.03685304
Bangkok,Winter,Overcast,68.28191064,25.46072197,993.2773733,14.6343778
Chiang Mai,Rainy,Overcast,47.93455714,17.94818772,1015.012993,20.60526111
Bangkok,Winter,Overcast,72.46097356,15.39476151,999.7309209,17.55142745
Chiang Mai,Summer,Cloudy,55.49098913,23.14140648,1016.407742,29.49848159
Khon Kaen,Winter,Cloudy,94.55485751,5.590285203,990.9757881,17.19936172
Phuket,Rainy,Sunny,54.93286994,11.03413015,1004.573483,32.94473117
Chiang Mai,Summer,Overcast,78.07927655,27.91645812,1011.307838,22.98527211
Bangkok,Rainy,Cloudy,81.53323575,3.3424589,996.685638,23.4427612
Khon Kaen,Summer,Sunny,62.27739081,2.279782589,1003.187392,34.55024367
Bangkok,Summer,Cloudy,31.1874291,17.44153759,1005.651556,32.82248723
Khon Kaen,Winter,Cloudy,72.37633096,7.13408625,1010.913876,19.43990669
Bangkok,Rainy,Sunny,26.72980768,16.98164506,1013.745942,33.02123405
Chiang Mai,Rainy,Sunny,79.32275579,18.70715616,1017.385426,20.58228406
Khon Kaen,Winter,Cloudy,69.15247924,2.830296483,1009.167731,20.02021935
Phuket,Summer,Overcast,69.39033168,14.13398192,1017.840653,28.07566531
Chiang Mai,Winter,Sunny,,18.50554871,999.7140732,25.54630653
Bangkok,Winter,,88.23058337,3.488094396,,17.13311414
Khon Kaen,Winter,Cloudy,71.11405121,10.18101159,993.8291929,20.99551925
Bangkok,Winter,Overcast,53.46480208,6.730525091,1014.122078,20.94517353
Khon Kaen,Winter,Cloudy,44.81735783,28.71920675,1014.627742,20.53472066
Chiang Mai,Summer,Overcast,47.66613169,6.698209454,999.8590306,27.43640294
Bangkok,Rainy,Sunny,70.86388945,8.717380368,1016.639264,26.65204749
Phuket,Rainy,Sunny,25.82908194,8.093056186,1018.965022,34.25450951
Khon Kaen,Summer,Overcast,,7.034075011,1007.457458,28.81902269
Bangkok,Rainy,Overcast,47.61165287,6.823776425,1014.493721,25.84107425
Khon Kaen,Rainy,,26.99856101,21.75431084,998.6621709,31.75899711
Chiang Mai,Winter,Overcast,84.42552496,6.373195111,993.4964965,9.925181684
Phuket,Rainy,Sunny,66.41523792,22.37980959,1013.714276,25.94102009
Chiang Mai,Summer,Sunny,60.86190111,11.7509535,992.6396978,27.4345789
Chiang Mai,Summer,Cloudy,46.4411904,21.36370526,1003.898692,30.75940334
Phuket,Summer,Cloudy,76.1884808,10.12523717,1018.379789,29.49958068
Bangkok,Summer,Cloudy,43.46701765,19.96194545,993.2652843,31.60918889
Phuket,Winter,Sunny,25.84350328,6.651668522,991.3110876,28.28086814
Bangkok,Rainy,Cloudy,93.46522061,16.60676472,1013.207888,21.36162308
Khon Kaen,Rainy,Sunny,22.83519979,3.995829594,1003.229508,30.71078664
Khon Kaen,Summer,Cloudy,30.11090025,11.43082298,990.5612726,32.79260558
Khon Kaen,Winter,Sunny,41.7115305,22.86385592,992.5715824,23.11188349
Chiang Mai,Rainy,Overcast,74.89115535,0.381652319,997.760934,21.10271907
Khon Kaen,Rainy,Cloudy,77.49016063,23.52824758,1001.096942,23.46062783
Phuket,Winter,Sunny,43.72764786,4.296336862,1004.64604,25.3640087
Chiang Mai,Rainy,Sunny,,29.87599638,,28.20730431
Bangkok,Rainy,Cloudy,69.4195347,19.68492243,997.3928721,25.70070701
Phuket,Rainy,Sunny,82.18745846,17.4340124,1018.057734,24.60621271
Bangkok,Summer,Overcast,40.80524067,1.233988142,1016.94238,29.07339562
Bangkok,Summer,Cloudy,90.36362761,24.93672018,1001.24819,26.09070757
Khon Kaen,Rainy,Sunny,41.19909398,21.08328694,1008.38405,31.71832299
Khon Kaen,Rainy,Overcast,70.20986537,29.58371366,1016.577396,19.19940879
Bangkok,Winter,Sunny,73.41567108,2.260047504,1018.201709,19.10801895
Phuket,Summer,Sunny,89.09275629,4.501942456,1006.590583,27.87370008
Chiang Mai,Rainy,Sunny,50.77811227,27.70995651,1013.697806,27.74709243
Chiang Mai,Rainy,Sunny,52.23939608,18.16708943,995.3292251,26.88678973
Khon Kaen,Summer,Sunny,60.51467131,1.31574709,1002.487307,33.94883987
Phuket,Winter,Cloudy,31.81634955,28.48829512,1002.042365,25.32987834
Chiang Mai,Rainy,Cloudy,71.03068031,25.98403779,999.1358338,21.38884043
Chiang Mai,Rainy,Cloudy,82.43830181,10.66557477,1001.581802,19.96859981
Chiang Mai,Rainy,Cloudy,,28.25629304,990.7257526,25.13118841
Khon Kaen,Rainy,Sunny,46.66250982,11.2994415,1007.90673,28.98248214
Bangkok,Winter,Sunny,92.33334288,1.522096966,1000.940607,17.53508895
Bangkok,Rainy,Sunny,68.32878314,23.0676556,1013.348884,28.25465847
Khon Kaen,Rainy,Overcast,79.07442626,-42.63141607,1004.904425,20.2380351
Phuket,Winter,Overcast,66.44831042,9.018930219,1019.913079,19.00437576
Phuket,Summer,Overcast,59.94220453,17.0117934,1019.459264,29.86576718
Chiang Mai,Rainy,Overcast,,2.877473743,1000.071086,15.5414796
Phuket,Rainy,Cloudy,46.29199705,12.3650439,1006.513416,26.76651613
Chiang Mai,Winter,Sunny,21.97399871,8.21131135,991.9030959,25.6858751
Bangkok,Rainy,Overcast,76.70129548,13.5050545,1015.99773,20.81888756
Khon Kaen,Summer,Overcast,52.02990025,24.35514459,1010.11814,29.72806554
Chiang Mai,Rainy,Overcast,44.03633821,22.21477807,1018.463285,21.09949514
Khon Kaen,Summer,Overcast,86.40816178,7.37016643,998.4406886,25.62041065
Bangkok,Rainy,Cloudy,27.49948714,27.52406692,1002.554208,30.05996026
Khon Kaen,Rainy,Cloudy,80.18078892,9.185729696,1019.329613,23.94888922
Bangkok,Summer,Overcast,48.90940342,26.31838222,1008.418,28.37463333
Khon Kaen,Winter,Cloudy,47.30835163,18.93418212,1004.789721,23.89588258
Phuket,Rainy,Sunny,23.12294189,16.23947701,1017.991623,35.90282939
Bangkok,Summer,Cloudy,83.24497475,13.54637781,997.6880318,26.60297313
Phuket,Rainy,Sunny,20.96556038,16.37066912,1019.761042,34.16781346
Phuket,Winter,Sunny,,23.53254354,1002.36243,21.71035822
Khon Kaen,Summer,Sunny,61.03513886,11.09297143,1008.432726,32.21857191
Chiang Mai,Summer,Cloudy,34.75361521,28.58014437,1005.810561,29.19596847
Chiang Mai,Rainy,Cloudy,85.43911094,26.01390337,1017.329065,18.57974494
Phuket,Summer,Overcast,57.24536382,29.1524361,996.4434881,28.69976927
Khon Kaen,Summer,Sunny,73.99226283,7.77216648,993.9823894,29.80129518
Chiang Mai,Summer,Cloudy,48.63408158,24.04546275,1008.904926,28.94286471
Chiang Mai,Rainy,Sunny,31.17220417,17.57235888,992.8837349,27.85898407
Chiang Mai,Rainy,Overcast,58.27574615,11.42206354,995.4439909,22.3756789
Chiang Mai,Summer,Sunny,44.12695818,14.17517047,,32.76444085
Khon Kaen,Summer,Cloudy,93.18417473,8.571007578,1019.147944,26.6921808
Phuket,Summer,Cloudy,,-42.11934976,1018.408122,35.76404318
Chiang Mai,Rainy,Sunny,65.26166575,17.01217985,1019.366801,24.20186292
Bangkok,Summer,,37.45528136,3.195839185,999.5620283,31.5899246
Phuket,Rainy,Cloudy,84.43860214,8.036688405,1001.599374,25.24351684
Phuket,Winter,Cloudy,63.86267572,5.731340241,1012.913056,18.8259771
Khon Kaen,Summer,Overcast,59.23484295,0.982502525,1013.621486,30.81070003
Chiang Mai,Summer,Cloudy,87.76340292,29.33627832,997.8242125,22.25580698
Phuket,Summer,Overcast,38.76552696,24.61503509,999.2216471,29.10410101
Khon Kaen,Rainy,Cloudy,87.03536177,26.18009699,1004.509295,20.52803232
Khon Kaen,Winter,Cloudy,46.56282249,13.57197527,997.6068159,23.83762033
Chiang Mai,Winter,Sunny,49.34241914,10.595405,994.2644608,21.03993832
Chiang Mai,Summer,Sunny,47.14997325,11.23702625,1018.804416,33.17648867
Bangkok,Summer,Cloudy,66.25885895,5.466859828,1001.64626,28.00941561
Phuket,Summer,Cloudy,66.23866212,19.45086888,1001.226993,29.65987094
Chiang Mai,Winter,Sunny,36.48073236,3.254651947,997.1329911,21.13884188
Chiang Mai,Rainy,Overcast,46.16800609,26.06339513,995.8048867,23.33423513
Khon Kaen,Summer,Cloudy,54.00919024,26.91089057,1011.20072,30.42083704
Phuket,Summer,Cloudy,57.0535774,2.700339147,1007.570656,29.29283908
Khon Kaen,Summer,Sunny,69.42197355,26.93143409,1015.233111,31.35660552
Phuket,Summer,,27.41081328,23.8078799,1007.826736,37.10455024
Chiang Mai,Rainy,Sunny,80.18768121,12.64938158,1006.33981,19.92130248
Bangkok,Rainy,Sunny,67.39240187,4.363335704,991.5208942,28.45330502
Bangkok,Rainy,Cloudy,34.0022918,4.789074526,992.4039799,30.14309106
Khon Kaen,Summer,Cloudy,28.37382231,26.53443602,1009.942402,34.00772078
Bangkok,Rainy,Overcast,85.92307203,21.19709797,1009.755958,21.01013462
Chiang Mai,Rainy,Overcast,87.56693519,2.180315943,999.9529773,17.84926434
Phuket,Winter,Cloudy,85.72981922,5.367222739,1018.375606,18.11427046
Chiang Mai,Summer,Sunny,66.15798726,9.583608501,1011.647386,27.50988057
Khon Kaen,Rainy,Cloudy,72.4256953,1.297332435,1005.349331,24.56516399
Bangkok,Rainy,Overcast,48.81004546,24.62713754,994.4535021,24.18978847
Khon Kaen,Rainy,Cloudy,69.51906313,26.12275262,995.2930226,27.49618072
Phuket,Summer,Sunny,33.59926497,5.073931785,991.5564426,37.16890127
Bangkok,Summer,Cloudy,43.03489334,13.69579133,1013.444469,33.00541704
Phuket,Summer,Overcast,38.76552696,24.61503509,999.2216471,29.10410101
Khon Kaen,Summer,Cloudy,34.33290315,8.357247948,1009.422564,34.31052556
Bangkok,Rainy,Overcast,,17.33269904,1015.109928,23.3894693
Bangkok,Summer,Overcast,44.52553595,29.65407799,1008.174049,30.54320621
Phuket,Winter,Overcast,42.41263672,23.89253358,1016.176114,22.6577217
Phuket,Summer,Overcast,75.84558146,23.70197544,995.3488411,28.03468499
Phuket,Summer,Cloudy,78.03225073,22.33874608,1000.595842,31.38999055
Khon Kaen,Winter,Overcast,65.94984317,28.50799229,1003.67689,16.15047671
Khon Kaen,Rainy,Cloudy,74.48008162,10.86767359,1012.068189,22.57935376
Khon Kaen,Summer,Overcast,,18.23761352,1016.718014,28.3235761
Chiang Mai,Summer,Overcast,40.94820764,17.24908423,1000.791435,29.98858299
Bangkok,Summer,Sunny,51.05502357,26.78357212,1018.496743,33.74652519
Chiang Mai,Rainy,Sunny,72.56485935,1.302220096,990.2735552,19.54952153
Phuket,Summer,Cloudy,22.85025938,18.74608217,995.7732464,34.63722794
Chiang Mai,Summer,Cloudy,49.57934544,4.338076006,1003.861843,27.4512892
Khon Kaen,Winter,Overcast,32.47749937,25.26822582,1000.946046,23.6547193
Chiang Mai,Rainy,Sunny,53.20031412,21.59262444,1002.921022,24.76938589
Khon Kaen,Rainy,Sunny,20.79723098,23.16777609,999.1948575,35.27207228
Bangkok,Summer,Cloudy,35.07039503,8.384930405,1004.548517,35.16913949
Bangkok,Summer,Cloudy,66.6765791,17.5676033,1011.854404,28.55803214
Khon Kaen,Rainy,Cloudy,,24.94228256,1013.058822,22.44676503
Phuket,Winter,Overcast,45.49454475,25.83516855,1004.032619,18.84909329
Bangkok,Summer,Sunny,71.82096039,7.809906243,1009.495279,28.79673148
Chiang Mai,Summer,Sunny,62.93564211,9.244021307,,28.1039242
Khon Kaen,Rainy,Sunny,46.95757384,22.29812102,1003.896261,31.59120297
Khon Kaen,Winter,Cloudy,32.57944251,24.23516859,1016.555007,24.23525777
Khon Kaen,Rainy,Cloudy,23.04688239,7.989596012,1018.069048,32.07449701
Chiang Mai,Summer,Sunny,,25.22865547,1019.491595,33.02676001
Khon Kaen,Summer,Cloudy,22.8891982,29.12666085,1009.642206,37.44948101
Chiang Mai,Summer,Cloudy,,16.99294317,1015.090296,23.96229436
Chiang Mai,Summer,Cloudy,55.32419245,18.86206106,1010.535866,28.26179406
Bangkok,Winter,Overcast,21.92256426,22.57118642,996.391971,26.60843106
Khon Kaen,Rainy,Sunny,33.0111448,1.776376091,996.9802015,33.3030854
Bangkok,Rainy,Cloudy,44.49887446,9.625264578,996.2839282,26.44553186
Khon Kaen,Rainy,Sunny,87.05781135,24.05883046,1018.052409,24.34199311
Phuket,Summer,Overcast,66.66567848,17.09759196,1015.90474,27.28457294
Khon Kaen,Summer,Overcast,28.91428212,12.3288359,1006.35617,32.76724081
Chiang Mai,Rainy,Sunny,72.56485935,1.302220096,990.2735552,19.54952153
Phuket,Summer,,57.3493475,24.46744767,1010.857752,33.77686221
